area_type,availability,address,size,society,total_sqft,bath,balcony,price
Plot  Area,18-05-2023,"Pulkeshi Nagar,Bangalore",1 Bedroom,,588,1,0,88.2
Super built-up  Area,Ready To Move,"Punappa Layout,Bangalore",3 BHK,DSionhe,1310,2,1,55
Super built-up  Area,Ready To Move,"Puttanahalli,Bangalore",3 BHK,,1450,3,1,65
Super built-up  Area,Ready To Move,"Puttanahalli,Bangalore",2 BHK,,1076,2,2,52
Super built-up  Area,Ready To Move,"Puttanahalli,Bangalore",4 BHK,,1530,3,3,87
Super built-up  Area,18-05-2023,"Puttanahalli,Bangalore",2 BHK,,1100,2,2,32
Built-up  Area,Ready To Move,"Puttappa Layout,Bangalore",4 Bedroom,,2675,4,2,290
Built-up  Area,Ready To Move,"Queens Road,Bangalore",3 BHK,DRnerns,1405,3,0,169
Built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",4 Bedroom,,1500,4,1,70
Built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",2 Bedroom,Sants A,800,1,0,170
Built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",7 Bedroom,,600,7,3,93
Built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",3 BHK,SiineSu,1560,3,3,125
Plot  Area,Ready To Move,"R.T. Nagar,Bangalore",6 Bedroom,,1200,7,3,165
Plot  Area,Ready To Move,"R.T. Nagar,Bangalore",2 Bedroom,,1200,2,1,120
Plot  Area,Ready To Move,"R.T. Nagar,Bangalore",9 Bedroom,,1200,10,,180
Plot  Area,Ready To Move,"R.T. Nagar,Bangalore",4 Bedroom,,2000,4,2,320
Plot  Area,Ready To Move,"R.T. Nagar,Bangalore",6 Bedroom,,1500,6,,240
Plot  Area,Ready To Move,"R.T. Nagar,Bangalore",5 Bedroom,,2400,6,1,450
Plot  Area,Ready To Move,"R.T. Nagar,Bangalore",3 Bedroom,,1140,3,1,130
Super built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",3 BHK,,1560,3,2,85
Super built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",2 BHK,Dhows M,1040,2,2,46
Super built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",2 BHK,,1200,2,3,45
Super built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",2 BHK,Siilka ,1235,2,2,65
Super built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",2 BHK,,970,2,1,55
Built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",2 BHK,,1200,2,2,60
Built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",3 BHK,,1380,2,1,50
Built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",3 BHK,GModsNR,1680,3,2,72
Super built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",3 BHK,JaniaGa,1400,2,3,78
Plot  Area,Ready To Move,"R.T. Nagar,Bangalore",3 Bedroom,,1200,3,,140
Super built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",4 BHK,,2800,4,,400
Built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",2 Bedroom,,1100,3,0,125
Super built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",2 BHK,,1150,2,2,72
Plot  Area,Ready To Move,"R.T. Nagar,Bangalore",2 Bedroom,,1500,2,0,230
Plot  Area,Ready To Move,"R.T. Nagar,Bangalore",4 Bedroom,,1500,4,3,185
Built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",9 Bedroom,,3600,8,2,165
Plot  Area,Ready To Move,"R.T. Nagar,Bangalore",3 Bedroom,,2400,3,0,348
Super built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",2 BHK,Esncyth,1080,2,1,48
Super built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",2 BHK,,1500,2,2,45
Super built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",2 BHK,,1325,2,2,52
Built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",4 BHK,,1800,3,0,120
Plot  Area,Ready To Move,"R.T. Nagar,Bangalore",3 Bedroom,,1300,3,,145
Super built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",3 BHK,GModsNR,1500,2,1,70
Super built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",2 BHK,Shusehi,1100,2,2,85
Super built-up  Area,Ready To Move,"R.T. Nagar,Bangalore",3 BHK,SiineSu,1667,3,,130
Built-up  Area,Ready To Move,"Race Course Road,Bangalore",4 Bedroom,,2500,4,1,450
Super built-up  Area,Ready To Move,"Race Course Road,Bangalore",4 BHK,,4750,5,,600
Super built-up  Area,18-05-2023,"Rachenahalli,Bangalore",1 RK,AsNowre,412.5,1,0,19.8
Super built-up  Area,20-08-2023,"Rachenahalli,Bangalore",1 RK,AsNowre,440,1,0,28
Super built-up  Area,18-05-2023,"Rachenahalli,Bangalore",1 BHK,AsNowre,680,1,0,32.64
Super built-up  Area,20-08-2023,"Rachenahalli,Bangalore",1 BHK,AsNowre,680,1,1,44
Super built-up  Area,20-08-2023,"Rachenahalli,Bangalore",1 BHK,AsNowre,440,1,1,28
Super built-up  Area,20-08-2023,"Rachenahalli,Bangalore",1 BHK,AsNowre,690,1,1,39.8
Plot  Area,Ready To Move,"Rachenahalli,Bangalore",5 Bedroom,,600,5,,50
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",4 BHK,Leino C,3670,4,3,300
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1050,2,2,52.07
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,Sovar S,1530,2,2,74.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1050,2,2,55.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,996,2,1,67
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,Sovar S,1530,2,2,74.4
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1050,2,2,53.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,Sovar S,1530,2,2,74.39
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1220,2,2,59.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,Sovar S,1050,2,2,52.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,Sovar S,1550,3,3,73.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1204,2,3,38.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,Leino C,2250,3,1,195
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,NRodsen,2721,3,2,113
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1224,2,3,39.2
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1050,2,2,52.1
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1050,2,2,53.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,Paentta,1113,2,1,55
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",4 BHK,,3657,5,,220
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,Sovar S,1550,3,2,74.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,Sovar S,1530,2,2,74.4
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,Sovar S,1530,2,2,74.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1050,2,2,52.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",1 BHK,,680,1,1,46
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,Sovar S,1550,3,2,72.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,Sovar S,1530,2,2,74.4
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,Paentta,1200,2,2,50
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1050,2,2,47.25
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1050,2,2,55.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1100,2,1,68
Super built-up  Area,20-12-2023,"Rachenahalli,Bangalore",2 BHK,AsNowre,985,2,1,49.97
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1050,2,2,52.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1050,2,2,52.08
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,Sovar S,1550,3,3,72.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1050,2,2,52.07
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,Sovar S,1530,2,2,74.4
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,NRniad ,2710,3,2,170
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1200,2,2,46.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1050,2,2,52.08
Super built-up  Area,20-11-2023,"Rachenahalli,Bangalore",2 BHK,AsNowre,985,2,1,49.97
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,Ameur G,1856,3,3,106
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1050,2,2,52.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1167,2,2,37.5
Super built-up  Area,20-11-2023,"Rachenahalli,Bangalore",2 BHK,AsNowre,985,2,1,50.17
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,ArariGo,925,2,1,37
Built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,NRniad ,2600,3,2,160
Built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,NRodsen,1756,3,2,110
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,Sovar S,1550,3,2,68.5
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",3 BHK,Sovar S,1550,2,2,73.5
Super built-up  Area,20-12-2023,"Rachenahalli,Bangalore",2 BHK,AsNowre,985,2,1,50.17
Super built-up  Area,Ready To Move,"Rachenahalli,Bangalore",2 BHK,,1050,2,2,52.71
Super built-up  Area,Ready To Move,"Raghavendra Layout,Bangalore",3 BHK,Muiseek,1499,3,2,89
Built-up  Area,Ready To Move,"Raghavendra Layout,Bangalore",3 BHK,Gomeseg,1770,3,2,90
Super built-up  Area,Ready To Move,"Raghavendra Nagar,Bangalore",2 BHK,,1175,2,2,48.27
Super built-up  Area,Ready To Move,"Raghavendra Nagar,Bangalore",3 BHK,Keony H,2431,3,1,100
Plot  Area,Ready To Move,"Raghavendra Nagar,Bangalore",5 Bedroom,,800,5,1,95
Built-up  Area,Ready To Move,"Raghuvanahalli,Bangalore",1 BHK,,900,1,1,30
Built-up  Area,Ready To Move,"Raghuvanahalli,Bangalore",2 BHK,Srncykh,1070,2,1,35
Built-up  Area,Ready To Move,"Raghuvanahalli,Bangalore",3 BHK,,1440,3,2,65.8
Built-up  Area,Ready To Move,"Raghuvanahalli,Bangalore",1 BHK,,425,1,1,750
Built-up  Area,Ready To Move,"Raghuvanahalli,Bangalore",1 BHK,,420,1,1,23.5
Built-up  Area,Ready To Move,"Rahat Bagh,Bangalore",4 Bedroom,Saaintv,3900,5,1,550
Built-up  Area,Ready To Move,"Rahmath Nagar,Bangalore",3 BHK,Malah A,1400,3,2,98
Plot  Area,Ready To Move,"Rainbow Drive,Bangalore",3 Bedroom,,1500,3,2,138
Super built-up  Area,18-03-2023,"Raja Rajashweri Nagar,Bangalore",3 BHK,,1410,2,2,45.12
Super built-up  Area,16-09-2023,"Raja Rajeshwari Nagar,Bangalore",3 BHK,,1280,3,2,57.6
Super built-up  Area,18-05-2023,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Cee 2du,1162,2,0,65
Super built-up  Area,18-07-2023,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Prllsan,1608,2,2,85
Super built-up  Area,18-08-2023,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Prllsan,1168,2,1,61
Super built-up  Area,18-08-2023,"Raja Rajeshwari Nagar,Bangalore",1 BHK,Prllsan,648,1,1,31.75
Super built-up  Area,18-12-2023,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Prllsan,1157,2,1,53.8
Built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,Avlya A,1610,3,2,74
Built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,,1258,2,1,63.53
Built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Neess P,1030,2,1,50
Built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GRvanun,1570,3,2,88
Built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,Spensas,1570,2,2,65
Built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Mahla T,1023,2,2,42
Built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,AcisePa,1395,2,2,72
Built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Neess P,1100,2,1,50
Plot  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",4 Bedroom,,1200,4,0,220
Plot  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",6 Bedroom,,1200,4,2,125
Plot  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",9 Bedroom,,3125,9,,350
Plot  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",8 Bedroom,,4800,8,,225
Plot  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",4 Bedroom,,1200,4,1,160
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GrrvaGr,1540,3,3,60
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GrrvaGr,1693,3,3,57.39
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1295,2,2,43.9
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Lancyey,1145,2,2,45.79
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1419,2,2,48.1
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1295,2,1,55.47
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1133,2,1,49.07
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,SGandea,1090,2,1,42
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,NaonySy,1260,2,1,67.39
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1141,2,2,38.55
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1140,2,1,49.39
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1303,2,2,55.79
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",1 BHK,,600,1,1,22
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,,1278,2,1,53.76
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",1 BHK,,500,1,1,25
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1143,2,2,38.65
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,i1rtsCo,1105,2,1,65
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GrrvaGr,1693,3,3,57.39
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1128,2,2,38.24
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,,1185,2,2,47.39
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GrrvaGr,1530,3,2,57
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,Lancy R,1530,3,3,61.2
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1144,2,2,38.55
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1196,2,2,51.51
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1306,2,1,55.91
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GrrvaGr,1608,3,1,67.98
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GrrvaGr,1530,3,3,51.87
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,Tentsw ,1575,2,2,78
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,,1200,2,1,35
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1151,2,2,39.02
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GrrvaGr,1580,3,3,53.56
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1196,2,2,51.15
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1419,2,2,48
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,PrrvaPl,1560,2,2,62.4
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,NaonySy,1295,2,2,70
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,DwntsAp,1100,2,1,55
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1140,2,2,38.55
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Lancyey,1090,2,2,43.59
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GrrvaGr,1530,3,3,51.77
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Sithand,1070,2,1,50
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,Dehts H,1510,2,3,59
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1128,2,1,48.79
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1267,2,2,42.85
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",1 BHK,,550,1,0,21
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1120,2,2,37.95
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,,1210,2,2,45
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1240,2,1,53.27
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,MaaveDu,1165,2,1,45
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,,1288,2,1,70
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1120,2,2,37.97
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1140,2,2,38.65
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,,1095,2,1,38.33
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,,1420,2,2,60
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1303,2,2,44.17
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GrrvaGr,1580,3,3,53.56
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1185,2,1,40.17
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1140,2,1,49.27
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,7 ise P,1430,2,1,50
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Shmai D,1095,2,2,38.33
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GRvanun,1235,2,1,75
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1303,2,1,55.79
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1133,2,2,38.41
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1151,2,1,49
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1267,2,1,54.35
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GrrvaGr,1550,3,3,52.45
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1185,2,2,40.17
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,Elleyt ,1751,3,3,72
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1306,2,2,44.17
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1196,2,2,40.44
Super built-up  Area,18-08-2023,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Prllsan,1178,2,1,75
Built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,,3000,3,2,60
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1128,2,2,40
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1151,2,2,39
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,Lancyey,1375,2,1,54.99
Plot  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",4 Bedroom,,1350,4,3,340
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GRvanun,1525,2,2,99.13
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Avlls H,1060,2,1,48
Plot  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",6 Bedroom,,3900,6,,195
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1128,2,1,48.79
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,,1400,2,2,48
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Dehts H,1170,2,3,50
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,DScon S,1625,2,2,54
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1185,2,1,51.15
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1255,2,1,53.87
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1419,2,1,60.42
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GrrvaGr,1693,3,1,71.38
Built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",9 Bedroom,,3600,9,3,240
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1196,2,2,40.54
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1196,2,2,40.54
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,i1rtsCo,1630,3,2,60.65
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GrrvaGr,1531,3,3,51.77
Super built-up  Area,18-05-2023,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Prllsan,1160,2,1,70
Built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1133,2,1,38.37
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1140,2,1,48.7
Built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1140,2,2,38.65
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1140,2,2,38.55
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1295,2,2,55.47
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1133,2,2,40
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,DwntsAp,1510,2,2,55
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,NaonySy,1550,3,1,86.8
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,,1400,2,2,45
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,,1110,2,1,52
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,NaonySy,1580,3,1,83.74
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GrrvaGr,1608,3,3,54.51
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,NaonySy,1640,3,1,86.8
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,GrrvaGr,1500,3,3,51.04
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1185,2,1,51.15
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1295,2,2,43.9
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,,1279,2,1,53.76
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1196,2,2,40.54
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1240,2,2,40.54
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,Vaw 1il,1090,2,1,57
Super built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",2 BHK,GrrvaGr,1240,2,2,42.04
Built-up  Area,Ready To Move,"Raja Rajeshwari Nagar,Bangalore",3 BHK,ChionCo,1757,3,3,98
